"CSID","licence_number","model_id","buy_year","branch_id","color_id"
225,45185336,1020,2019,888,2
226,57773021,1032,2017,670,1
227,28986829,584,2020,161,6
228,13219745,249,2019,218,6
229,82000183,174,2020,118,1
230,89173926,677,2017,896,4
231,10299519,656,2018,764,2
232,55704938,1117,2021,635,3
233,66430538,232,2021,980,5
234,32881193,355,2022,266,1
235,69322108,1111,2020,625,3
236,22271693,468,2020,251,2
237,76352999,582,2018,219,2
238,37992483,168,2019,810,3
239,84472322,382,2019,667,2
240,52412797,396,2021,148,4
241,80021749,933,2022,601,2
242,48922269,888,2018,667,10
243,48922560,229,2022,473,3
244,12949380,216,2017,585,6
245,19890568,617,2021,375,10
246,72248690,186,2017,423,2
247,99807265,522,2019,154,3
248,84920632,230,2021,675,2
249,50841375,933,2021,907,1
250,74440841,608,2019,534,4
251,71073128,450,2021,137,2
252,81913924,992,2022,886,4
253,77603886,129,2017,948,1
254,34569296,55,2019,331,2
255,51554638,273,2017,641,2
256,51427262,559,2017,679,2
257,49862129,750,2019,793,2
258,65631744,196,2019,133,3
259,83760450,101,2022,93,2
260,68455419,542,2020,989,3
261,98217477,134,2020,260,3
262,65384718,162,2018,665,6
263,47883497,107,2021,970,1
264,51333456,575,2019,732,2
265,58967760,949,2020,7,3
266,61226119,796,2017,209,4
267,69721574,810,2021,83,1
268,12490290,801,2022,355,1
269,87444015,963,2018,247,3
270,97350469,334,2017,987,4
271,49838728,796,2022,685,4
272,44875772,923,2019,498,3
273,23161423,627,2020,902,6
274,60551078,107,2019,167,1
275,83884033,786,2021,765,1
276,81436737,308,2021,858,6
277,23156721,493,2019,798,6
278,62018682,631,2021,843,5
279,22896662,546,2019,272,4
280,44483634,241,2021,579,1
281,11351513,220,2020,127,2
282,34894569,596,2019,228,5
283,50194410,401,2019,351,3
284,54589493,658,2021,585,6
285,27082579,467,2022,184,2
286,98471141,96,2017,727,5
287,19244547,129,2019,251,2
288,28736695,853,2020,269,2
289,23332732,719,2019,666,4
290,51212099,1033,2017,203,2
291,61808359,415,2021,554,3
292,75480005,196,2020,834,2
293,81653714,312,2022,749,2
294,18429995,838,2020,855,1
295,25052611,1021,2020,809,1
296,31485501,665,2019,938,1
297,58486328,380,2017,111,1
298,65562365,745,2020,50,2
299,56213892,528,2018,722,5
300,31421816,438,2017,977,6
301,79463952,368,2019,240,1
302,51242034,1015,2018,542,3
303,16761200,168,2021,175,4
304,27977006,804,2017,730,1
305,82419475,377,2020,211,4
306,14667756,985,2019,149,3
307,79131638,799,2018,388,1
308,18684515,719,2021,244,4
309,62892397,514,2018,284,5
310,25131338,1088,2020,449,1
311,90131291,602,2017,318,1
312,63223327,787,2017,274,1
313,86359966,487,2019,712,2
314,34908920,797,2019,915,2
315,93606273,818,2022,746,1
316,64907021,692,2018,240,8
317,81859516,537,2019,568,5
318,89583636,960,2017,853,4
319,88332236,585,2018,204,2
320,59856580,115,2020,955,1
321,85494672,843,2019,399,2
322,77878399,441,2017,28,1
323,78808129,960,2018,11,2
324,33192648,206,2019,795,2
325,82270113,507,2017,39,5
326,99160061,622,2017,73,5
327,83480192,396,2022,89,1
328,72302752,2,2018,564,8
329,22129374,249,2018,887,2
330,83773195,595,2019,876,3
331,54015568,7,2019,855,1
332,25865783,921,2017,675,2
333,27213129,135,2022,336,2
334,81915479,915,2017,520,4
335,27600189,466,2021,49,6
336,16199844,376,2017,187,2
337,95535076,639,2019,369,1
338,46179165,310,2019,621,1
339,92770745,512,2017,662,2
340,73706085,818,2019,269,2
341,43365473,35,2019,81,2
342,86848521,939,2018,112,1
343,98851895,276,2019,586,2
344,91126990,954,2020,780,3
345,78551645,879,2018,807,2
346,24049983,442,2020,431,4
347,35780800,408,2022,730,1
348,63177844,30,2018,136,6
349,69632147,989,2017,796,6
350,79046492,132,2020,571,4
351,43291509,225,2017,990,1
352,92296426,455,2021,105,2
353,18438342,616,2022,469,2
354,84287417,187,2017,827,2
355,67993715,700,2018,308,2
356,82385818,695,2019,775,1
357,62430610,97,2019,195,2
358,16981297,301,2019,38,1
359,34638708,609,2020,285,2
360,22121808,707,2021,148,3
361,22718420,319,2020,684,2
362,72886778,1061,2017,296,1
363,82079722,455,2019,133,3
364,35670854,1057,2017,825,5
365,63364886,677,2021,384,5
366,91062429,232,2020,817,5
367,30331093,940,2019,594,3
368,68810047,548,2018,895,2
369,32576326,823,2019,643,4
370,52104565,634,2018,831,4
371,51771093,1011,2021,352,3
372,62842599,552,2017,723,4
373,48767748,1043,2017,67,3
374,38066978,965,2019,348,2
375,19544846,3,2021,996,5
376,90803283,694,2017,259,1
377,88154074,539,2022,514,1
378,64408221,112,2018,457,1
379,37314507,842,2018,147,4
380,27778277,539,2019,988,3
381,43124382,835,2020,791,3
382,48355389,924,2018,712,3
383,33521747,758,2019,683,2
384,32217382,327,2017,533,2
385,84012373,589,2021,119,7
386,32845169,381,2020,927,4
387,91816483,870,2021,714,2
388,12107032,26,2020,59,1
389,54355713,486,2019,761,3
390,18051787,987,2021,145,3
391,70730927,564,2020,202,2
392,21792312,96,2022,140,3
393,56934585,972,2021,294,1
394,42363357,1087,2022,145,2
395,70040336,287,2020,362,2
396,95712863,326,2018,627,4
397,83799833,30,2019,90,2
398,98653333,447,2020,314,2
399,34100886,228,2019,312,2
400,79545931,383,2019,34,4
401,13858311,533,2019,573,2
402,34825441,32,2017,30,4
403,78214473,996,2021,156,2
404,39607189,952,2022,140,3
405,73815150,630,2019,917,5
406,20081077,935,2021,152,3
407,40558920,946,2021,670,4
408,40258439,370,2018,819,2
409,43158141,511,2019,467,2
410,33819995,19,2022,492,1
411,66167494,835,2020,524,1
412,36778885,1112,2018,133,2
413,55177375,1036,2017,663,4
414,99834909,382,2022,746,4
415,91673967,419,2019,673,2
416,13847183,873,2018,151,5
417,69226479,208,2020,589,4
418,67963006,208,2018,730,5
419,54975568,6,2018,932,1
420,98202334,567,2019,744,2
421,89685319,490,2018,753,4
422,74419429,664,2019,586,5
423,35789594,292,2018,200,3
424,40517315,203,2017,577,2
425,14238719,190,2020,768,1
426,14730273,44,2017,927,1
427,31377274,1011,2020,201,2
428,50490514,499,2021,316,1
429,99704361,1064,2021,713,4
430,64535147,211,2022,371,4
431,75188735,931,2017,553,3
432,69471199,1022,2020,78,4
433,27784977,653,2018,639,5
434,67528318,488,2019,778,4
435,80792664,1007,2019,683,1
436,84065983,727,2022,572,1
437,59667797,30,2019,523,2
438,34638922,261,2022,607,1
439,83156700,1073,2021,905,1
440,49001177,552,2021,937,7
441,79749744,927,2019,852,11
442,86430531,98,2020,303,3
443,54831074,1051,2020,243,3
444,31960917,849,2019,515,2
445,54447122,456,2019,206,4
446,65091298,499,2018,340,2
447,63288944,230,2017,57,4
448,25397570,209,2019,663,1
449,50148062,631,2018,738,5
450,74815551,985,2020,669,1
451,24389138,485,2020,3,2
452,84708868,909,2022,664,2
453,37902233,221,2018,243,3
454,12218984,506,2022,593,3
455,51957700,379,2018,381,2
456,29536816,277,2018,347,2
457,53292635,921,2018,520,5
458,64795076,834,2019,633,3
459,11449985,914,2022,275,4
460,33611351,168,2019,48,7
461,80312767,311,2019,32,5
462,56869928,1126,2019,319,2
463,59221936,702,2017,964,1
464,19871166,446,2017,679,1
465,38599131,1106,2019,258,1
466,31359402,422,2018,163,5
467,95800703,778,2021,58,1
468,96247339,313,2020,718,1
469,54915449,155,2017,284,1
470,57426934,1,2020,594,4
471,40721900,512,2020,111,2
472,27538604,1106,2020,115,5
473,97571052,786,2018,755,1
474,76772658,822,2018,403,5
475,52984315,612,2021,227,2
476,43265136,473,2019,471,1
477,28194331,433,2018,814,3
478,10823351,281,2017,562,2
479,21911451,24,2017,839,2
480,37193666,442,2019,844,6
481,48600932,836,2018,968,2
482,59832786,558,2017,982,1
483,71926387,558,2020,973,1
484,15873378,155,2021,886,3
485,40931439,281,2022,102,3
486,58816404,9,2019,444,6
487,50177055,1002,2019,353,4
488,91806108,510,2017,332,2
489,56186101,964,2021,409,2
490,33820772,863,2017,493,2
491,14762423,676,2021,644,3
492,76890250,491,2017,54,6
493,90788587,912,2020,185,4
494,76925574,803,2020,166,1
495,50193571,804,2018,745,2
496,12085428,615,2022,777,4
497,82793081,863,2021,510,2
498,65197975,417,2019,849,3
499,30900877,378,2021,58,2
500,55226226,626,2018,246,1
501,12184623,41,2022,580,1
502,78675967,956,2018,535,4
503,84709163,400,2022,196,4
504,50259338,1037,2020,458,6
505,15761040,998,2018,716,2
506,98880230,370,2018,860,4
507,53167430,147,2021,798,2
508,40916649,803,2022,447,4
509,36947093,920,2021,894,6
510,63093823,454,2022,982,1
511,71146940,762,2019,916,2
512,86128345,778,2020,410,1
513,40476509,39,2017,686,1
514,19308224,68,2017,680,3
515,34220995,299,2019,499,1
516,84054955,145,2018,858,1
517,53441041,1049,2018,589,1
518,49399450,1063,2021,933,2
519,31112883,754,2018,941,1
520,13849268,130,2018,672,11
521,61969306,343,2018,539,5
522,10765110,1068,2017,786,7
523,15578966,127,2021,116,1
524,61028111,114,2022,841,6
525,71394202,106,2017,310,2
526,51303801,580,2018,554,1
527,86332110,747,2022,805,2
528,86007250,368,2017,762,2
529,82260440,350,2021,989,3
530,33937610,940,2019,591,4
531,62011514,853,2021,889,3
532,71820010,1107,2021,831,5
533,12647448,323,2022,518,4
534,36546778,429,2018,732,6
535,54187620,425,2017,375,2
536,60141069,805,2021,120,6
537,16942577,665,2021,950,4
538,63247224,410,2022,447,1
539,82537440,719,2021,54,2
540,63207364,343,2017,27,1
541,61459546,107,2017,905,2
542,50193190,921,2017,912,2
543,86176024,627,2020,105,2
544,63593902,987,2022,625,1
545,78436765,433,2020,996,2
546,83666917,754,2020,690,5
547,88523332,1006,2018,307,6
548,86327897,988,2019,680,6
549,36687722,262,2018,557,2
550,35030101,20,2021,557,4
551,17972379,755,2021,539,2
552,18842833,292,2022,440,4
553,68914447,129,2021,619,3
554,22754960,712,2019,475,1
555,57373158,1082,2021,1,4
556,40111238,609,2018,33,2
557,31735309,452,2022,770,2
558,57638021,406,2022,55,2
559,22749845,22,2020,386,9
560,32374728,167,2020,605,1
561,87798390,143,2022,92,4
562,83023199,1078,2019,534,4
563,22497152,325,2021,29,5
564,18503455,753,2018,275,3
565,73252498,573,2018,674,2
566,44503256,550,2020,64,2
567,64597671,283,2020,690,1
568,63558588,992,2020,757,5
569,43254908,941,2021,248,4
570,78075178,492,2020,949,5
571,35909511,1071,2022,390,1
572,54182905,171,2022,864,1
573,21214005,160,2020,619,1
574,77954561,226,2017,984,2
575,41350008,691,2021,555,2
576,76493394,577,2021,944,4
577,67173587,683,2017,121,4
578,97861452,805,2022,729,2
579,31223878,226,2017,67,6
580,41010897,25,2021,592,2
581,25080514,1005,2022,823,2
582,71577649,72,2022,207,1
583,83479107,685,2021,727,1
584,39253428,938,2019,210,3
585,11332051,575,2022,578,2
586,68264620,494,2017,770,3
587,18274310,33,2019,698,2
588,52037510,454,2017,819,6
589,81234537,250,2017,83,2
590,13070193,1074,2018,726,4
591,74681879,751,2020,459,3
592,45641809,322,2017,45,2
593,12273489,155,2021,802,1
594,63611263,1015,2020,964,2
595,94732106,1057,2021,548,2
596,23385034,925,2018,602,2
597,47952027,426,2020,408,4
598,82325429,1007,2022,867,2
599,34407641,1049,2018,208,6
600,15570308,972,2018,501,1
601,43629051,1019,2021,783,1
602,62261664,209,2017,451,4
603,25858810,239,2020,848,2
604,79299476,341,2018,109,6
605,38856322,589,2019,934,1
606,33766036,763,2019,924,2
607,94429034,708,2022,394,2
608,86148447,627,2019,503,1
609,86952601,892,2018,362,1
610,79579324,866,2017,531,5
611,64370439,895,2022,430,1
612,75195640,32,2021,698,2
613,76605597,918,2017,861,3
614,42243279,337,2020,574,2
615,82593079,663,2022,586,6
616,38348215,484,2021,869,2
617,37670027,871,2021,394,3
618,40465990,575,2017,390,5
619,90363648,875,2020,541,3
620,48620256,459,2017,887,3
621,89108882,1088,2021,434,7
622,44186824,294,2021,528,4
623,17269439,457,2021,19,2
624,95499157,862,2019,84,5
625,30165840,163,2017,729,1
626,17598125,578,2019,764,1
627,66676998,211,2022,920,3
628,14253718,574,2022,379,4
629,14113715,1029,2022,237,4
630,41137843,953,2019,249,3
631,45847783,674,2017,917,3
632,81451336,931,2018,187,3
633,66969592,287,2019,812,2
634,28501259,999,2019,106,2
635,80366289,201,2021,867,5
636,80037134,182,2017,326,4
637,42531072,668,2018,770,1
638,57702801,407,2020,580,2
639,65225826,1027,2018,854,2
640,41065665,233,2017,751,6
641,24360868,190,2018,48,5
642,60130067,908,2017,171,2
643,31010671,836,2017,538,2
644,99600483,784,2022,110,2
645,22024556,806,2022,938,5
646,72645522,793,2020,66,5
647,53671506,745,2021,299,3
648,14530399,1138,2019,234,5
649,98894362,125,2020,867,4
650,26332533,824,2019,145,5
651,49625666,759,2022,545,2
652,40962752,1017,2020,48,5
653,56087433,597,2018,915,6
654,78537104,423,2019,617,2
655,55161092,1090,2017,705,12
656,13552926,861,2018,335,2
657,50792348,1105,2017,601,5
658,26628091,600,2022,771,4
659,42193219,128,2020,403,1
660,79554407,501,2020,847,4
661,81459012,25,2019,550,3
662,98360116,1029,2018,233,2
663,50979647,555,2017,298,3
664,42909286,581,2022,713,4
665,90649621,376,2020,432,1
666,77198906,244,2022,666,2
667,65174686,770,2022,193,5
668,57156942,317,2017,187,5
669,58344190,1038,2021,899,1
670,97258917,787,2020,874,1
671,26538270,699,2021,754,4
672,96243894,501,2018,594,4
673,49473816,1128,2022,769,2
674,96059524,521,2020,448,1
675,42800679,828,2020,350,3
676,22652575,1035,2019,496,5
677,22947668,16,2021,293,1
678,54499924,777,2017,257,1
679,44280971,448,2022,772,4
680,75152883,63,2019,323,4
681,28604378,690,2018,105,2
682,79738333,967,2017,133,5
683,49343224,383,2022,180,2
684,73320784,477,2021,755,6
685,20291049,186,2018,406,3
686,43281563,55,2017,735,2
687,44191634,783,2021,563,1
688,36575362,322,2017,542,1
689,76727594,373,2022,599,4
690,33219151,795,2020,796,6
691,94549421,71,2018,997,4
692,23916484,716,2021,543,4
693,36188456,794,2021,164,4
694,25453028,1120,2017,954,2
695,85420957,14,2017,997,3
696,54132557,796,2021,497,1
697,88016755,1024,2021,285,1
698,94994419,819,2021,20,4
699,78722291,31,2020,481,2
700,35909259,1119,2019,735,1
701,28045121,757,2021,813,1
702,91854972,196,2021,50,3
703,93417830,565,2018,817,2
704,54531478,70,2017,815,1
705,83469434,849,2021,755,6
706,86854591,1022,2019,50,3
707,29093028,1061,2018,66,2
708,52157286,1050,2019,464,6
709,48800994,1032,2020,272,1
710,19770501,896,2017,152,4
711,13254741,59,2022,623,4
712,86648650,423,2021,561,1
713,53578843,548,2017,500,4
714,11824468,104,2018,472,3
715,40325092,108,2019,711,5
716,61712088,502,2019,916,1
717,52949866,493,2019,530,5
718,37179668,747,2020,584,1
719,57644304,859,2018,429,4
720,68790863,1099,2019,925,6
721,25595205,765,2022,505,3
722,99790482,267,2020,575,2
723,93686032,821,2021,727,3
724,84647893,855,2019,287,3
725,81636428,950,2022,183,2
726,69311018,743,2022,974,2
727,15377286,478,2021,644,3
728,88096231,95,2018,513,4
729,78644560,929,2019,54,4
730,53044179,741,2022,307,2
731,22778048,334,2017,639,2
732,73635012,439,2017,919,3
733,62937558,147,2020,728,5
734,54188379,459,2020,643,3
735,64477653,702,2019,999,2
736,73267736,453,2021,298,3
737,99212797,739,2020,228,13
738,47419478,732,2021,103,3
739,98855316,997,2021,759,3
740,70734340,1048,2020,223,4
741,32621110,579,2017,638,4
742,27510948,70,2021,255,1
743,15615609,579,2019,78,4
744,12849945,305,2019,872,3
745,38148013,1030,2021,66,1
746,10684946,38,2018,909,2
747,81512676,55,2017,16,1
748,92270819,324,2019,459,2
749,21669651,160,2019,994,1
750,37736283,161,2017,530,2
751,94223135,91,2021,846,4
752,84540163,1120,2021,566,2
753,42736869,794,2018,164,6
754,74887845,668,2019,680,1
755,23464713,679,2020,453,5
756,45140420,591,2021,935,6
757,60594040,206,2017,770,5
758,20872677,833,2022,498,2
759,80228132,530,2022,730,1
760,40137537,323,2020,552,2
761,13619449,326,2017,527,5
762,89136184,115,2020,645,1
763,96611542,917,2022,587,1
764,46621553,1033,2021,533,3
765,20111883,826,2020,738,1
766,44029069,391,2018,240,6
767,40787124,1107,2018,258,1
768,37108058,296,2020,803,1
769,81705960,830,2021,297,4
770,27240504,737,2020,772,1
771,43211707,239,2017,804,5
772,18837019,646,2020,212,1
773,46642766,828,2022,897,3
774,59921924,844,2019,687,9
775,80729655,143,2019,639,2
776,77379318,383,2022,521,5
777,87520904,357,2019,724,1
778,34149750,1081,2019,919,6
779,43283365,1130,2022,146,12
780,28991454,571,2022,279,5
781,77351979,594,2022,303,2
782,31479008,549,2021,469,2
783,93754109,604,2022,583,9
784,13993745,705,2021,168,5
785,83938025,811,2019,240,4
786,38333441,442,2022,277,2
787,11174796,244,2017,77,5
788,62036882,331,2018,684,2
789,18416890,791,2019,143,6
790,96145374,437,2022,571,2
791,86660659,887,2019,98,6
792,48745699,922,2021,57,6
793,22379278,465,2022,780,4
794,29882452,1004,2021,63,4
795,88281755,254,2019,421,1
796,74377615,344,2017,565,2
797,72086583,1047,2020,402,3
798,58420797,257,2021,983,2
799,30810745,64,2020,265,8
800,24813556,527,2020,229,4
801,60807832,480,2017,935,4
802,79577386,687,2019,580,2
803,85584253,618,2021,342,4
804,39533122,463,2017,873,3
805,61007345,821,2021,507,2
806,77231614,348,2020,52,4
807,61311229,670,2021,472,2
808,15825740,507,2020,990,4
809,56288466,758,2018,622,6
810,82280073,581,2017,574,5
811,37484316,457,2020,988,1
812,80641169,360,2021,868,3
813,74173987,163,2020,929,3
814,73594566,850,2019,277,3
815,44378628,794,2021,421,3
816,44125770,855,2022,14,1
817,90517774,551,2022,362,1
818,89914414,1097,2019,52,2
819,90943801,735,2019,917,2
820,78552216,1016,2022,726,3
821,19009837,338,2022,962,1
822,65057273,289,2022,468,4
823,17246448,472,2021,969,1
824,36313916,783,2019,357,1
825,57889518,332,2017,359,3
826,99475029,169,2018,83,1
827,97485960,125,2021,62,1
828,24336131,678,2022,520,3
829,51792716,918,2022,274,4
830,85786440,112,2018,300,1
831,99374896,264,2017,421,3
832,28737857,1097,2021,82,2
833,95313815,1100,2018,645,3
834,27769637,928,2020,943,2
835,94864090,1100,2020,223,4
836,83105254,711,2018,83,4
837,13253866,0,2021,715,1
838,14927573,503,2019,2,2
839,36149489,786,2019,222,1
840,40706791,458,2019,172,3
841,57452350,926,2022,69,6
842,40567220,990,2020,966,2
843,36357599,178,2022,864,2
844,73127598,12,2022,652,4
845,17879287,209,2022,364,3
846,70156134,363,2017,653,2
847,35222236,302,2017,624,6
848,74720669,119,2018,846,3
849,68692684,715,2018,697,5
850,25028168,467,2021,390,2
851,45665163,971,2017,513,6
852,10933863,656,2022,589,3
853,93271802,600,2018,439,6
854,71024460,547,2020,553,1
855,86405871,699,2018,824,6
856,69508482,110,2022,515,6
857,30901155,855,2020,520,5
858,34886853,1,2019,348,5
859,30851480,1025,2019,602,4
860,64934366,882,2021,998,2
861,16172880,918,2019,855,3
862,83983963,341,2021,970,4
863,52328277,855,2022,536,1
864,92777046,846,2021,732,2
865,55878299,669,2019,531,1
866,63624798,694,2017,38,3
867,43444604,161,2022,211,3
868,37447481,390,2021,293,4
869,16315746,1141,2018,990,1
870,86052111,538,2018,41,2
871,57459366,789,2017,735,5
872,53908255,913,2020,91,2
873,56098484,124,2018,831,2
874,92563175,735,2018,329,2
875,50241643,1082,2019,668,5
876,34835146,1026,2018,300,4
877,16660739,390,2022,756,1
878,22781001,1004,2019,495,1
879,72468535,740,2021,179,2
880,16878245,934,2018,875,6
881,10634614,282,2018,734,5
882,29305910,941,2017,638,7
883,84592679,71,2021,33,5
884,28469312,334,2021,552,4
885,97932594,848,2022,305,3
886,19909115,171,2020,425,1
887,22715027,97,2018,801,1
888,23472303,860,2018,539,1
889,74999958,867,2017,724,6
890,25761828,764,2019,541,5
891,80764217,452,2019,306,3
892,61993186,572,2020,716,4
893,38525259,452,2018,261,3
894,91409183,856,2018,320,1
895,51419514,178,2019,37,6
896,15281042,1074,2020,484,2
897,83050742,28,2017,238,2
898,97654613,233,2019,652,1
899,11154520,796,2018,206,2
900,99072420,539,2019,755,5
901,91591981,466,2022,322,6
902,29617931,445,2017,701,4
903,65274350,76,2021,887,1
904,84078364,173,2020,590,5
905,71721127,933,2022,709,4
906,87548332,687,2022,673,2
907,95163264,538,2020,180,3
908,13581857,968,2019,480,5
909,86760004,333,2019,86,2
910,35468981,676,2021,129,2
911,99980594,494,2021,650,4
912,32070845,652,2021,889,4
913,66564457,1023,2022,937,6
914,16667499,1119,2019,143,5
915,11203671,382,2018,515,2
916,61714377,580,2020,718,2
917,42216380,895,2020,899,2
918,44889702,9,2022,496,3
919,11480397,139,2018,862,1
920,88775204,135,2019,692,1
921,67794870,1136,2022,90,1
