sep=<tab>
22	דנ הרי יהודה , צובה	פלמח צובה מוסך הקיבוץ	02-5347705
23	הכרמל 7 , אילת	טרקטורים וציוד )אי.טי.אי( בע מ	08-6316906
24	הנגרים 5 , באר שבע	אוטו פיקס ש.רכב-הנהלת אחמד	050-5395396
25	מסמיה ד.נ שקמים , בני ראם	מוסך הנגב המרכזי בע מ	08-8500107
26	פז גלים ת.ד. 12614 , אשדוד	חשמל גלים אשדוד (1996) בע מ	08-8521702
27	דרך חבורן גבים 4 , באר שבע	מוסך השלום- אבוטבול אורי	08-6276451
28	מרכז נפתי , אשקלון	אגד חברה לתחבורה בע מ	08-6750221
29	דרך חברון 8 ת.ד 342 , באר שבע	א.א מרכז רכב דרום בע מ	08-6276070
30	ד.נ האלה , צרעה	צרעה מוסך הקיבוץ	02-9908242
31	אורט 1 , אשקלון	שרות אוטומובילים - וייס אמנון	08-6734303
32	א.ת.באר טוביה , באר טוביה	צח אור צ.ח. (2002) בע מ	08-8581630
33	המלאכה 18 , באר שבע	א.ארגמן סוכנות דרום בע מ	08-6278184
34	העבודה 44 ת.ד 12436 , אשדוד	ראובן אילן - מוסך אר - קר	08-8524659
35	הפנינים 7 ת ד 211 , אשקלון	גלאון מוטורס בע מ	08-6750811
36	דרך חברון ת.ד.4135 , באר שבע	מוסך מלכה יצחק - מלכה עופר	08-6277412
37	דנ לכיש צפון , נגבה	קבוצת הדרך הירוקה אגש ח בע מ	08-6774891
38	שד בן צבי בתחנת דלק פז , ירושלים	סויסה אריה - מוסך בית הרכב	02-6243066
39	דרך חברון ת.ד 17308 , באר שבע	צור פתרונות לתעשיה וצמ ה בע מ	08-6276322
40	ד.נ. חוף אשקלון רוחמה , רוחמה	קבוץ רוחמה בע מ	08-6807716
41	תלפיות רח' הסדנה 10 , ירושלים	מישר רכב ותנועה בע מ	02-6782236
42	ניר 4 א.ת באר טוביה , קריית מלאכי	רישוי ישראל - באר טוביה	08-8582124
43	חשוון 24 ת.ד. 2828 , קריית גת	חשמל דוד - הרוש דוד	08-6603365
44	המלאכה 1 , באר שבע	גא'נו צמיגים בע מ	08-6232745
45	תלפיות רח' הרכב 50 , ירושלים	ניר גד חברה לרכב בע מ	02-6499000
46	המסגר 10 , קריית גת	דוד תיקוני רכב	054-6329046
47	אזור תעשיה , בית שמש	שטרית יעקב - שטרית מוסך למכונאות	02-9911253
48	העבודה 20 , אשקלון	מוסך אולימפיק - פיטלמן אלכסיי	054-5741534
49	ד.נ. הנגב , מגן	מוסך קיבוץ מגן	08-9983023
50	הנגרים 13 , באר שבע	מוסך איציק - זאיבלב ולדיסלב	08-6275980
51	הברזל 1 , באר שבע	אגד חברה לתחבורה  בע מ	03-9143418
52	דרך חברון 13 , באר שבע	מוסך לצי ובניו (1986) בע מ	08-6272666
53	דרך הצלחה 16 , אילת	מוסך אילת -  דדון יוסף	08-6378580
54	תלפיות רח' הסדנא מס' 15 , ירושלים	מוסך ארתור את יצחק חברה בע מ	02-6782422
55	עמיעז 6 ת ד 17563 , באר שבע	מוסך א.נ.ש.רכב- אזברגה אחמד	08-6231980
56	ד.נ. הנגב , ניר יצחק	קיבוץ ניר יצחק - מוסך	08-9983329
57	אנילביץ 3 , באר שבע	מוסך ביליה פחחות- שרלי	08-6276450
58	הנמל ת.ד. 9001 , אשדוד	חברת נמל אשדוד בע מ	08-8517372
59	קיבוץ ניר עוז , ניר עוז	קיבוץ ניר עוז - מוסך	08-9983722
60	ד.נ. הנגב צומת גילת , גילת	דחבש  המניע - דור לימור	08-9923580
61	הנגר 1 ת.ד. 5237 , אילת	בן חיון מוסך א.ישראל בע מ	08-6378001
62	העמל 5 , דימונה	מוסך המבריק דימונה - אלקרם  טאה	054-2103757
63	המלאכה 1 ת.ד. 5185 , אילת	אוטו סטרט אילת בע מ	08-6378278
64	צה ל 26 , אשקלון	צמיגי מנשקו - דוד מנשקו	052-2760229
65	החרט  1 , אשקלון	מוסך דני - בוקובזה דניאל	08-6724705
66	קיבוץ יוטבתה , יטבתה	מוסך המשק יוטבתה	08-6357415
67	ואדי אגוז 40 ת.ד 22018 , ירושלים	פחאם עימד - מוסך אל פחאם	02-6283612
68	ת.ד 21603 ואדי אל אגוז , ירושלים	משעשע ואסף- מוסך פחחות וצבע	02-6277728
69	ואדי אל אגוז ת.ד. 19444 , ירושלים	גמאל עומר מסרי בע מ מ. פולקסווגן	02-6284606
70	ואדי אל ג'וז 6 , ירושלים	מוסך האחים ויקטורי	050-5288655
71	ואדי אל אגוז , ירושלים	דוויק מגדי  - מוסך דוויק אל דיזל	052-2549457
72	ואדי אל אגוז ת.ד. 19669 , ירושלים	מאסו מישל - מוסך אלקודס	052-4050034
73	ואדי ג'וז ת.ד. 22199 , ירושלים	פתיאני אחמד מוסך פתיאני	02-6280680
74	ואדי אל אגוז ת.ד 67773 , ירושלים	כורד חסן - מוסך כורד חסן	052-2286550
75	ראס אל עמוד ת ד 20981 , ירושלים	בהלוואן מוניר - מכונאות רכב	050-5386259
76	ואדי אל אגוז ת.ד. 22255 , ירושלים	חרחש מאהר תיקון צמיגים	02-6284040
77	ואדי אל גוז ת.ד. 19761 , ירושלים	מהלאווס מוסא - מוסך מהלוואס	052-3862750
78	פנחס החוצב 35  ת.ד.655 , באר שבע	ברע מ בנגב בע מ 1983	08-6277195
79	תלפיות התעשיה 14 , ירושלים	מ.מ.מ י-ם בדיקות רכב ורישוי בע מ	02-6782898
80	תלפיות מעשה חושב 2 , ירושלים	מוסך יחזקאל ובניו (2000) בע מ	02-6733591
81	הסדנא 15 ת.ד. 52109 , ירושלים	אוטו פח - י.א. בע מ	02-6782472
82	ואדי אל אגוז , ירושלים	אלקורד מחמוד חשמל רכב	02-6280850
83	המלאכה 4 , קריית גת	צדיק צמיגים 1998 בע מ	08-6814002
84	המסגר 8 ת.ד 8027 , קריית גת	חשמל רכב חיים - סולומון מלכה	08-6882326
85	חטיבת גולני 34 ת.ד. 9206 , אילת	הכוכב ב.נדב בע מ	08-6378937
86	ואדי ג'וז ת.ד 55377 , ירושלים	גועבי ראג'ח-מוסך אלגעבה	02-6264139
87	ההדרים 43 , אשדוד	א.ע.א. בע מ רכב אטמור	08-8562004
88	חטיבת הנגב 18  ת.מרכזית , אילת	אגד חברה לתחבורה בע מ	03-9143701
89	ואדי אל גוז ת.ד 54191 , ירושלים	שהין חאלד צבעות רכב	052-2407570
90	דואר שועפט ת.ד. 25132 , ירושלים	קוואסמי נעמן פחחות רכב	02-5812715
91	רוממה רחוב תובל 1 , ירושלים	צמיגי גוליאן בע מ	02-5381035
92	תלפיות רח' הרכב 18 , ירושלים	מיכה את יואב שרותי רכב בע מ	02-6780851
93	דנ שדה גת , בית ניר	אחזקות וניהול בית ניר אגשח בעמ	08-6874314
94	הנחושת 33 ת.ד. 12001 , אשדוד	מנשקו גיא - מנשקו אשדוד	08-8531082
95	הנפח 4   ת.ד.5184 , אילת	א.צ טכנולוגיות לרכב ט.נ 2000 בעמ	08-6378073
96	תלפיות בעלי מלאכה 1 , ירושלים	ביג צ'ייס אופנועים בע מ	02-6794488
97	תלפיות רח' הרכב 36 , ירושלים	אקסטרים 2020 שירותי רכב בע מ	02-6780098
98	פנחס החוצב 83 , באר שבע	מוסך יעדים בהנהלת חוסם	052-4345754
99	עזרא יסודי 5 ת.ד. 204 , אשקלון	אלירז שרותי רכב בע מ	08-6722253
100	תלפיות רח' הרכב 26 , ירושלים	תרתיר ריאד-מוסך דיזל האומן 2015	02-6791101
101	ד.נ. ים המלח , עין גדי	עין גדי בע מ	08-6594606
102	פנחס החוצב 37 , באר שבע	מוסך אקסלוסיב (1997)  בע מ	08-6234139
103	פנחס החוצב 1 , באר שבע	בן פנחס צמיגים ומכונאות בע מ	08-6439597
104	תלפיות בעלי מלאכה 13 , ירושלים	אחמד מג'אהר - מוסך א.מ	054-7303797
105	תלפיות רח' הרכב 13 , ירושלים	יעקב דרעי - מוסך אל-אייקר	02-6480602
106	פז קרית מנחם פינת ברזיל , ירושלים	בלאל אללבאן-צמיגי אורשלים	02-6501700
107	ואדי אל אגוז 22118 , ירושלים	מוסך ושרותי רכב מרכז העיר	054-5637387
108	ואדי אל גוז ת.ד. 67329 , ירושלים	קאווסמי נעים מוסך באן-פחחות צבע	054-4504005
109	המלאכה 6 , באר שבע	מוסך התקווה -בהנהלת מהדי	050-9750203
110	הבנאי 2 , אשקלון	מוסך חנן דוד ובניו	08-6756332
111	א התעשיה , באר טוביה	עוזי ובנו שרותי חשמל בע מ	08-8581868
112	א התעשיה הצפוני ת.ד. 861 , אשדוד	מוסך צמרת - רנו אשדוד בע מ	08-8521713
113	ד.נ הנגב , להב	כלח אחזקות בע מ - מ. קיבוץ להב	08-9913308
114	תלפ'בעלי מלאכה 11 , ירושלים	שאול יוניסי חשמלאות רכב בע מ	02-6783622
115	תלפיות רח' צרת 7 , ירושלים	האחים נחמיה י.ג.ע.א.ן.בע מ	02-6783550
116	התושיה 15 ת.ד. 1525 , אילת	אילת ציון פחחות וצבע בע מ	08-6318477
117	עורף הנמל תחנת דלק , אשדוד	סופר טייר פרו	08-8520202
118	ואדי אגוז ת.ד 51245 , ירושלים	שהאב באסם - תיקון תקרים	02-6287478
119	אזור תעשיה עד הלום , אשדוד	משה ביטון - מכון עד הלום	08-6750969
120	שמיר 6  ת ד 599 , ערד	פנצרית ערד מצדה בע מ	08-9971274
121	ואדי אל גוז ת.ד. 38745 , ירושלים	תמימי פאדי - אל קודס לדיזל	050-5667379
122	העבודה 17 , אשדוד	אורי עומרן-צמיגי אביב הלוי	08-8523384
123	צה ל  26 , אשקלון	עמנואל ציון חשמלאות רכב	08-6753146
124	א תעשיה ת.ד. 639 , באר טוביה	מוסך נאמן יורם ויחייה בע מ	08-8582454
125	המלאכה 7 , באר שבע	מוסך באר-שבע בן דוד	08-6232198
126	תלפ. בעלי מלאכה 2 , ירושלים	דניאל את קאפ - מוסך ראנדן	02-6780790
127	ת. הרכב 14 ת.ד. 52203 , ירושלים	ממן שמעון צבעות רכב	02-6783174
128	קיבוץ רעים , רעים	מוסך קיבוץ רעים	08-9940421
129	הנגרים 2  ת.ד. 5269 , באר שבע	מוסך דוקטור לרכב - יונס סייד	052-6761170
130	ג.שאול רח' כנפי נשרים 62 , ירושלים	מוסך זמיר בקל  בע מ	02-6580900
131	ישראל פולק 53 , קריית גת	מוסך לינר בהנהלת גריגורי	08-6811729
132	ישראל פולק 47 , קריית גת	מוסך קאר צ'ק בהנהלת שי רביב	052-2294393
133	תלפיות בעלי מלאכה 3 , ירושלים	י.ג המכוון (95) בע מ	02-6783555
134	תלפיות רחוב הרכב 15 , ירושלים	מוסך המחדש בע מ	02-6783375
135	תלפיות בעלי מלאכה 11 , ירושלים	מוסך אליק ובניו בע מ	02-6783248
136	פלדה 5 , ערד	ש.ח.ל ומנעולנות - וידאל אסרף	08-9956439
137	תלפיות חרשי ברזל 13 , ירושלים	אבו דאלי זידון - ג'וני אופנועים	02-6783690
138	תלפיות רח' בעלי מלאכה 5 , ירושלים	צח יובל - מוסך לביא	02-6785280
139	תלפיות חרשי ברזל 9 , ירושלים	מ.הרדיאטור י-ם ש. רכב (1998)בע מ	02-6783813
140	ראם 11 , תל אביב -יפו	צמיגי יוסי זוארץ (1994) בע מ	03-5616754
141	קיבוץ המעפיל , המעפיל	קבוץ מעברות	04-6367015
142	שפע טל 7 , תל אביב -יפו	מוסך מועדים לשמחה מיכאל בע מ	03-5627722
143	טברסקי 5 , תל אביב -יפו	פליקס בע מ	03-6278000
144	יד חרוצים 8 , תל אביב -יפו	ב.ב יד חרוצים 89 בע מ	03-6879729
145	סגולה 2 , פתח תקווה	מוסך מאירמן יחזקאל	03-9313022
146	אילת 56 , תל אביב -יפו	כהן חיים מוסך מאיר למכונאות	03-6825722
147	העליה 54 , תל אביב -יפו	שמואלוב אליעזר - מוסך אהרון	03-6826738
148	ת.ד 5097 קיבוץ גלויות 50 , תל אביב -יפו	ר.מ. עננים בע מ	03-6821782
149	המסגר 74 , תל אביב -יפו	אוטו גלס זגגות רכב בע מ	03-5620833
150	בר יוחאי 18 , תל אביב -יפו	מוסך בר יוחאי - אריה חוגובקוב	03-6820464
151	בר כוכבא 59 , פתח תקווה	מוסך אקספרס פת בעמ	03-9312439
152	דרך השרון 52 , הוד השרון	גוברמן גרין-מוסך העוגן	09-7427406
153	טברסקי 7 , תל אביב -יפו	ש. קלעי ובנו בע מ	03-5620345
154	היצירה 23 , רמת גן	מוסך קרל בע מ	03-7515451
155	דוד מרכוס 10 , פתח תקווה	המוסך של איציק קטיפה	052-8223445
156	אברבנאל 7 , תל אביב -יפו	קופמן ישראל מוסך	03-6839047
157	זבוטינסקי 37 , רמת גן	שואף אריה צמיגים	03-7515089
158	החרש 14 , נס ציונה	ח.ר. חי מוטורס בע מ	08-9409898
159	המנוע 10 , תל אביב -יפו	מוסך אקשטייןבע מ	03-6822629
160	אפק 5 , תל אביב -יפו	מוסך אפ ק - בהנהלת ליאור כהן	054-3040715
161	ישראל בק 22 , תל אביב -יפו	חי לוי קור בע מ	03-5614471
162	דואר נע מעברות , מעברות	מאיר מרכזי שירות שותפות מוגבלת	09-8986563
163	יפת 88 , תל אביב -יפו	חנאניא ויקטור צמיגי אנטון חנניה	03-6828584
164	ת.ד 363 ס. רעננה , רעננה	ליס משה ושות'	09-7431395
165	וסרמן 7 , תל אביב -יפו	מ.א. ליין )ש.א.( בע מ	03-5376499
166	אילת 9 , תל אביב -יפו	מוסך מוטי יעל ליסינג בע מ	057-7578338
167	פרנסיוז 10 , תל אביב -יפו	סעיד עיוטי - מוסך עיוטי	03-6810382
168	קבוץ העוגן , העוגן	מוסך י.פ. העוגן בע מ	09-8982163
169	ת.ד 13443 האורג 5 , נתניה	מוסך הגורן בע מ	09-8624655
170	ת.ד. 13212 הכדר 9 , נתניה	סבח אבישי צמיגי אורון	09-8822457
171	הפלד 1 תד 556 , אזור	מקורות חברת מים בעמ	03-5572700
172	עולי ציון 15 , תל אביב -יפו	דאוד אבו דאוד מוסך סיטרואן	03-6812082
173	קבוץ עין החורש , עין החורש	מוהר נתן - מוסך עין החורש	04-6127300
174	וסרמן 7 , תל אביב -יפו	א רוט בעמ	03-6818141
175	הירקון 13 ת.ד 127 , בני ברק	מ.מ.מ רישוי - בני ברק	03-5791615
176	הרכבת 4 , תל אביב -יפו	בית הצמיג חברת צמיגים בע מ	03-5601189
177	נמל תעופה תד 34, תחנת דלק , לוד	צמיגי דחף בע מ	08-9712567
178	פנקס פ' הרכב 1 ת.ד 13103 , נתניה	מוסך יוסי קפיזדר יוסי ורמי בע מ	09-8332241
179	רח וסרמן 5 , תל אביב -יפו	אהרון אפרים מוסך עלית	03-6822288
180	הרצל 2 , ראשון לציון	מוסך א. אהרון 2010 בע מ	03-9693020
181	פוריה 27 , תל אביב -יפו	שרף אילן מוסך פנחס	03-6826424
182	בן שמן 5 , תל אביב -יפו	ג. ארנון בע מ	03-6963323
183	אמוראים 1 , רחובות	חיים ודרור מוסך הדרום 2018	054-8166622
184	הרצל 135 , רמלה	אוטו אור רמלה 2008 בע מ	08-8228191
185	סגולה 4 , תל אביב -יפו	שעיא סמיר	03-6821149
186	בר כוכבא 53 , פתח תקווה	מוסך כהן דוד אלברט	03-9303943
187	יצחק שדה 40 , תל אביב -יפו	משאלוב צפריר אופנועי הקריה	03-5621578
188	דרך פת 110 , תל אביב -יפו	מישאלוב אילן מוסך המהיר	03-5626641
189	שד הר ציון 108 , תל אביב -יפו	לוי נחמד דיזל רוטור	03-6826675
190	מגן אברהם 6 , תל אביב -יפו	קריו לאון מוסך קריו	03-6834854
191	הרצל 138 , רחובות	מוסך פריצל דוד	08-9452074
192	סוף רחוב האורן , בית חירות	לוי בינימין מוסך בני	09-8666634
193	יצחק שדה 33 , תל אביב -יפו	פרנסיס אריה מוסך חיים	03-5622165
194	וסרמן 4 , תל אביב -יפו	חן שמעון מוסך אלי אשכנזי	03-6825316
195	בר כוכבא 64 , פתח תקווה	פרחי יהושע אריה נע	03-9318020
196	קבוץ גבעת ברנר , גבעת ברנר	שריג עמית - מוסך גבעת ברנר	08-9443795
197	שלמה 44 פ. אברבנאל , תל אביב -יפו	קוסובר גיל מוסך תקין	03-6827726
198	הנגרים 13 , תל אביב -יפו	אברמוב אברהם	03-6821460
199	דרך פת 25 , תל אביב -יפו	משאלוב אלי אבי גל אופנועים	03-5602755
200	שלמה 12 , תל אביב -יפו	סקסיק הני מוסך יפו למכונאות	03-6819364
201	הבנאי 26 , חולון	מוסך הידרוסטופ נפתלי בע מ	03-5506814
202	שכון דן עשר תחנות , תל אביב -יפו	דן חברה לתחבורה ציבורית בע מ	03-6933534
203	אפרים זקס 40 , רחובות	עזר ענבי - מוסך ענבי	08-9413183
204	הפלד 32 א תעשי , חולון	יצחק טייץ מוסך חולון	03-5501980
205	הצפירה 15 , תל אביב -יפו	חיימוב אדוארד מוסך הצפירה	03-6876331
206	התחיה 22 , תל אביב -יפו	שרותי כיוון פרונט התחייה בע מ	03-6826858
207	המקצוע 3 , תל אביב -יפו	קבוצת שגריר שירותי רכב בע מ	03-6872908
208	יגאל אלון 124 , תל אביב -יפו	2 אלכס מוטו בע מ	03-6093959
209	הבנאי 4 , חולון	קרן משאבות בע מ	03-5588070
210	גבעת הרצל 101 , תל אביב -יפו	אלמוג משקי שרות לצמיגים	03-6833796
211	דאר נע אבטח , יבנה	קבוצת יבנה בע מ )מוסך(	08-8548309
212	קיבוץ בארות יצחק , בארות יצחק	קיבוץ בארות יצחק מוסך	03-9371954
213	יהודה הלוי 2 , רמלה	ניסים חדד מוסך המרכז	08-9229298
214	קבוץ דנ מרכז , נחשונים	נחשונים בע מ	03-9386578
215	נ ת ב ג תד 41 , לוד	אל על נתיבי אויר לישראל בע מ	08-9716929
216	סוקולוב 7 , לוד	חמרה יחזקאל	08-9241862
217	ת.ד 51512 טברסקי 4 , תל אביב -יפו	ימין דוד כל צמיג דוד	03-5622010
218	ריבל 24 , תל אביב -יפו	קרסו מוטורס (2007) בע מ	03-6381100
219	בר כוכבא 49 , פתח תקווה	ויקטור שרותי רכב בע מ	03-9300152
220	יגאל אלון 122 , תל אביב -יפו	טופ גאן שיווק	03-6918674
221	דרך נמיר 170 ת.דלק , תל אביב -יפו	טייר סנטר ישיר בע מ	03-5540300
222	ברוך הירש 17 , בני ברק	מוסך האצטדיון ניסים בע מ	03-6182003
223	ת.ד.136 חורשים , חורשים	מוסך חורשים יהודה בע מ	03-9034441
224	דואר שפיים , שפיים	דרך השטח בשרון בע מ	09-9523536
225	אלוף דוד מרכוס 4 , פתח תקווה	שפירא דוד מוסך	052-2721553
226	קב שילר דנ עמק שו , רחובות	יאיר קרישפין טרקטורים וצ.מ.ה	08-9372910
227	דרך יבנה , רחובות	מוסך יש סגנון בע מ	08-9462444
228	רח המכבים31 , פתח תקווה	גבריאל פינחסוב  מוסך  מוטוקלינקה	03-9302003
229	שד.לוי אשכול 1 , חולון	ח. חויו ובניו בע מ	03-5050099
230	הקישון 33 , בני ברק	א. עמוס מזגנים לרכב בע מ	03-5798265
231	טברסקי 8 , תל אביב -יפו	בצלאל גיא-אלגק גיאגלס	054-2270126
232	הרצל 119 , לוד	אדמון יעקב המהיר	08-9222868
233	חומה ומגדל 28 ת.ד 57477 , תל אביב -יפו	אליהו יהושע מוסך מיכון 93	03-5376557
234	גולומב 46 , תל אביב -יפו	אסקרוב חיים מוסך אמיר	03-6912662
235	שכטרמן 4 ת.ד 13361 א.ת , נתניה	מוסך פאר נתניה 1996 ט.ז. בע מ	09-8824528
236	המלאכה 1 נס ציונה , נס ציונה	מטאור -קורן אהוד	08-9407089
237	ת.ד 13270 המסגר 19 , נתניה	מרכז שרות אם קלאס בע מ	09-8824202
238	א.ת- ת.ד 2087 , כפר סבא	מוסך כפר סבא בן סימון בע מ	09-7655552
239	רמת יצחק עוזיאל 47 , רמת גן	מעודה ארז - סיטימן	03-6768019
240	ת.ד 13366 פנקס 16 פינת שכטרמן , נתניה	אלקלעי שבתאי מרכז האגזוז	09-8824359
241	דרך מנחם בגין 27 , תל אביב -יפו	נחום שמואל קל נע	03-5602310
242	הרקון 3 , רמת גן	מוסך עוז ר ג בע מ	03-7518090
243	גרשון 31 שכ'מונטפ , תל אביב -יפו	חבר איציק כיווני פרונט	03-5625511
244	הנציב 4 , תל אביב -יפו	סרנגה ישראל מוסך מעוז	03-5616657
245	הנציב 19 , תל אביב -יפו	וייס עירן ספידומטר	03-5618372
246	יצחק שדה 27 , תל אביב -יפו	סלמון יצחק מוסך סלמון	03-5622407
247	הרצל 102 , נתניה	צמיגי עוזנת בע מ	09-8622565
248	בר כוכבא 70 , פתח תקווה	אבי רסקין מוסק רסקין אופק	03-9314160
249	הסדנא 12 , תל אביב -יפו	ג'ט סטאר ישראל בע מ	03-6337991
250	ת.ד. 3338 אפעל 7 , פתח תקווה	מוסך דעבול אייל	03-9220902
251	מבצע קדש 51 , בני ברק	אבי זרח ובניו בע מ	03-5792323
252	דרך בן צבי 7 , תל אביב -יפו	הילוך שישי יפו בע מ	03-6823898
253	הרצל 6 , רמלה	מכון אלשייך יחיא	08-9242345
254	הירקונים 33 , פתח תקווה	צומת מוסך בעמ	03-9312465
255	ההגנה 27 , תל אביב -יפו	משולם עוזיאל מוסך עוזי בייק	03-5372747
256	תימנע 2 , חולון	דן חברה לתחבורה ציבורית בע מ	03-6933340
257	שונצינו 21 , תל אביב -יפו	עזריה אריה מוסך טיל	03-5621388
258	בית אלפא 16 , תל אביב -יפו	המדביק בע מ	03-5617744
259	שדרות המעפילים 2 , תל אביב -יפו	סעד יצחק מוסך שמשון	03-5373033
260	ת.ד.316 , גדרה	מוסך קובי את איציק	08-8596224
261	אמץ 1 , תל אביב -יפו	ניסים את שלמה בע מ	050-5204452
262	בן שמן בית הספר , בן שמן (מושב)	אפטידור בע מ	052-2585612
263	קלאוזנר 15 , רמלה	פ.שלום בע מ	08-9205357
264	גונן 7 ד 334 , פתח תקווה	ניצנים מוסך בעמ	03-4934829
265	הנציב 4 , תל אביב -יפו	פחחות הצפון רושה בע מ	03-5465871
266	הקישון 64 , תל אביב -יפו	צפאני יחזקאל שרות יחזקאל	03-6826260
267	תמנע 17 , חולון	קפיצים לרכב חמילבסקי בע מ	03-5500731
268	שפע טל 2 , תל אביב -יפו	פולץ שרותי רכב 1996 בע מ	03-5627907
269	עציון גבר 15 , תל אביב -יפו	סימנטוב דניאל מוסך פאר	03-6828601
270	אנלביץ מרדכי 40 , תל אביב -יפו	מוסך רעים בע מ	03-6877160
271	זבוטינסקי 63 , בני ברק	מוסך צבאג יצחק בן אברהם צבאג	03-6183251
272	ד' השרון 98  ת.ד 93 , הוד השרון	שרה  מוסך דני - שפיר רונן	09-7401097
273	גרשון 42 , תל אביב -יפו	מוסך האח הגדול - תומר לוי	03-5620333
274	ת.ד. 53 העצמאות 4 , כפר יונה	אהרון דבי שירותי רכב (2010) בע מ	09-8988139
275	עזרא דנגור 41 , בני ברק	שמואל סומך ובניו בע מ	03-6180294
276	לבנדה 36 , תל אביב -יפו	סורני צדוק מוטו טי אל וי בעמ	03-5377626
277	דרך בן צבי 11 , תל אביב -יפו	ש.ש.רדיאטורים בע מ	03-6829893
278	הקישון 15 , בני ברק	טחן אפרים מוסך אפרים	03-5706115
279	דרך בן צבי 11 , תל אביב -יפו	צופי יעקב מוסך המהיר	03-6815280
280	הרצל 4 , גדרה	תומר מלול פנצריית הבילוים	08-8593351
281	החרוץ 2 , תל אביב -יפו	מפעלי דינמומטר בדיקת רכב 1965 בע	03-5370574
282	מדינת היהודים 66 , הרצלייה	מרכז שרות מרום הרצליה בע מ	03-9581355
283	פוריה 4 , תל אביב -יפו	מזרחי משה	03-6831460
284	בן אביגדור 3 , תל אביב -יפו	ברנרד מרדכי מוסך גיר און	03-5625035
285	משה יתום 9 רחובות , רחובות	ארגמן אוטו מאסטר	054-4707502
286	הנגר 4 א. התעשיה , נתניה	דיזל השרון תעשיות 1997 בע מ	09-8335725
287	קבוץ גבעת חיים מאוחד , גבעת חיים (מאוחד)	גבעת חיים המאוחד	04-6368496
288	גבעת חיים איחוד )מוסך( , גבעת חיים (איחוד)	מוסך שעיבי שמואל	04-6369789
289	דרך יבנה , רחובות	יחיא אליעזר את דגן מנחם-מוסך פז	08-9465803
290	התעשיה 42 , יהוד	מיכאל שרפי מסגרות רכב	03-5363303
291	שדה תעופה , לוד	תעשיה אוירית -מח-8243	08-9353410
292	שניצלר 4 , תל אביב -יפו	רובין כדורי מוסך כדורי	03-6823732
293	ישראל בק 26 , תל אביב -יפו	מוסך עמל בעמ	03-5622256
294	מיטב 4 , תל אביב -יפו	דרכים מרכזי שירות לרכב בע מ	077-3019400
295	יקנעם 13 , תל אביב -יפו	נח פיזק - מוסך תיבת נח	03-6817475
296	בר כוכבא 69 , פתח תקווה	המוסך הירוק בע מ	03-9231948
297	טברסקי 16 , תל אביב -יפו	מוסך ונטורה בע מ	03-5614863
298	הבנאי 10 , חולון	שמעון זנקו מוסך צוות לעניין	03-5502242
299	אחים מסלויטה 9 , תל אביב -יפו	שודרי ספירונס מוסך פיג'ודו	03-5622834
300	פוריה 25 , תל אביב -יפו	מוסך אלי כהן בע מ	03-6828298
301	הירקון 8 , בני ברק	יצחקוב מוטי מוסך מוטי	03-5709866
302	ת.ד 13467 השיש 26 , נתניה	א.ד. שרותי רכב בע מ	09-8332187
303	סגולה עי נתיבים , פתח תקווה	שמשון משה מוסך הזוהר	03-9315253
304	נחל שורק ד יבנה , יבנה	מרכז למחקר גרעיני	08-9434255
305	לבנדה 51 , תל אביב -יפו	מוסך ז'בנר מאיר בע מ	03-6872813
306	המכבים 25 , פתח תקווה	מוסך בכר - דרור בכר	03-9315167
